index,nrLayers,nrNodes,oddsSet1,edgeDegree1,edgeDegree2,edgeDegreeCross
229,6,800,0.473274,3.11075,2.42532,1.28532
230,6,800,0.599617,16.5861,3.7075,6.68534
231,6,800,0.599617,16.5861,3.7075,6.68534
232,6,800,0.599617,16.5861,3.7075,6.68534
233,6,800,0.599617,16.5861,3.7075,6.68534
234,6,800,0.599617,16.5861,3.7075,6.68534
235,6,800,0.831824,25.3514,6.43569,2.93839
236,6,800,0.831824,25.3514,6.43569,2.93839
237,6,800,0.831824,25.3514,6.43569,2.93839
238,6,800,0.831824,25.3514,6.43569,2.93839
239,6,800,0.831824,25.3514,6.43569,2.93839
240,6,800,0.905312,3.75631,1.61526,2.50098
241,6,800,0.905312,3.75631,1.61526,2.50098
242,6,800,0.905312,3.75631,1.61526,2.50098
243,6,800,0.905312,3.75631,1.61526,2.50098
244,6,800,0.905312,3.75631,1.61526,2.50098
245,6,800,0.856162,4.56733,8.16153,3.65702
246,6,800,0.856162,4.56733,8.16153,3.65702
247,6,800,0.856162,4.56733,8.16153,3.65702
248,6,800,0.856162,4.56733,8.16153,3.65702
249,6,800,0.856162,4.56733,8.16153,3.65702
250,6,800,0.996595,7.9533,3.5337,3.0354
251,6,800,0.996595,7.9533,3.5337,3.0354
252,6,800,0.996595,7.9533,3.5337,3.0354
253,6,800,0.996595,7.9533,3.5337,3.0354
254,6,800,0.996595,7.9533,3.5337,3.0354
255,6,800,0.727621,10.8749,5.67928,4.38431
256,6,800,0.727621,10.8749,5.67928,4.38431
257,6,800,0.727621,10.8749,5.67928,4.38431
258,6,800,0.727621,10.8749,5.67928,4.38431
259,6,800,0.727621,10.8749,5.67928,4.38431
260,6,800,0.343529,8.10641,3.03517,2.40502
261,6,800,0.343529,8.10641,3.03517,2.40502
262,6,800,0.343529,8.10641,3.03517,2.40502
263,6,800,0.343529,8.10641,3.03517,2.40502
264,6,800,0.343529,8.10641,3.03517,2.40502
265,6,800,0.559495,5.73903,6.34648,2.05389
266,6,800,0.559495,5.73903,6.34648,2.05389
267,6,800,0.559495,5.73903,6.34648,2.05389
268,6,800,0.559495,5.73903,6.34648,2.05389
269,6,800,0.559495,5.73903,6.34648,2.05389
270,6,800,0.636481,10.239,6.93555,2.02309
271,6,800,0.636481,10.239,6.93555,2.02309
272,6,800,0.636481,10.239,6.93555,2.02309
273,6,800,0.636481,10.239,6.93555,2.02309
274,6,800,0.636481,10.239,6.93555,2.02309
275,6,800,0.888367,2.96409,1.12802,1.48046
276,6,800,0.888367,2.96409,1.12802,1.48046
277,6,800,0.888367,2.96409,1.12802,1.48046
278,6,800,0.888367,2.96409,1.12802,1.48046
279,6,800,0.888367,2.96409,1.12802,1.48046
280,6,800,0.733909,6.54225,3.08853,1.25304
281,6,800,0.733909,6.54225,3.08853,1.25304
282,6,800,0.733909,6.54225,3.08853,1.25304
283,6,800,0.733909,6.54225,3.08853,1.25304
284,6,800,0.733909,6.54225,3.08853,1.25304
285,6,800,0.276561,0.84416,2.89334,1.45445
286,6,800,0.276561,0.84416,2.89334,1.45445
287,6,800,0.276561,0.84416,2.89334,1.45445
288,6,800,0.276561,0.84416,2.89334,1.45445
289,6,800,0.276561,0.84416,2.89334,1.45445
290,6,800,0.497762,5.79335,9.26721,1.80275
291,6,800,0.497762,5.79335,9.26721,1.80275
292,6,800,0.497762,5.79335,9.26721,1.80275
293,6,800,0.497762,5.79335,9.26721,1.80275
294,6,800,0.497762,5.79335,9.26721,1.80275
295,6,800,0.582759,11.9143,1.78821,2.19477
296,6,800,0.582759,11.9143,1.78821,2.19477
297,6,800,0.582759,11.9143,1.78821,2.19477
298,6,800,0.582759,11.9143,1.78821,2.19477
299,6,800,0.582759,11.9143,1.78821,2.19477
300,6,800,0.379705,21.2132,2.59571,3.35192
301,6,800,0.379705,21.2132,2.59571,3.35192
302,6,800,0.379705,21.2132,2.59571,3.35192
303,6,800,0.379705,21.2132,2.59571,3.35192
304,6,800,0.379705,21.2132,2.59571,3.35192
305,6,800,0.280337,18.8245,4.95728,1.31541
306,6,800,0.280337,18.8245,4.95728,1.31541
307,6,800,0.280337,18.8245,4.95728,1.31541
308,6,800,0.280337,18.8245,4.95728,1.31541
309,6,800,0.280337,18.8245,4.95728,1.31541
310,6,800,0.45673,0.56957,2.1132,0.654711
311,6,800,0.45673,0.56957,2.1132,0.654711
312,6,800,0.45673,0.56957,2.1132,0.654711
313,6,800,0.45673,0.56957,2.1132,0.654711
314,6,800,0.45673,0.56957,2.1132,0.654711
315,6,800,0.686616,6.1566,5.87005,0.841312
316,6,800,0.686616,6.1566,5.87005,0.841312
317,6,800,0.686616,6.1566,5.87005,0.841312
318,6,800,0.686616,6.1566,5.87005,0.841312
319,6,800,0.686616,6.1566,5.87005,0.841312
320,6,800,0.424211,9.75708,5.40811,5.44465
321,6,800,0.424211,9.75708,5.40811,5.44465
322,6,800,0.424211,9.75708,5.40811,5.44465
323,6,800,0.424211,9.75708,5.40811,5.44465
324,6,800,0.424211,9.75708,5.40811,5.44465
325,6,800,0.335798,3.39485,8.96166,3.88254
326,6,800,0.335798,3.39485,8.96166,3.88254
327,6,800,0.335798,3.39485,8.96166,3.88254
328,6,800,0.335798,3.39485,8.96166,3.88254
329,6,800,0.335798,3.39485,8.96166,3.88254
330,6,800,0.312296,12.7827,8.74582,3.08946
331,6,800,0.312296,12.7827,8.74582,3.08946
332,6,800,0.312296,12.7827,8.74582,3.08946
333,6,800,0.312296,12.7827,8.74582,3.08946
334,6,800,0.312296,12.7827,8.74582,3.08946
335,6,800,0.515925,3.34076,0.716466,0.839961
336,6,800,0.515925,3.34076,0.716466,0.839961
337,6,800,0.515925,3.34076,0.716466,0.839961
338,6,800,0.515925,3.34076,0.716466,0.839961
339,6,800,0.515925,3.34076,0.716466,0.839961
340,6,800,0.70657,5.58567,3.76035,1.53582
341,6,800,0.70657,5.58567,3.76035,1.53582
342,6,800,0.70657,5.58567,3.76035,1.53582
343,6,800,0.70657,5.58567,3.76035,1.53582
344,6,800,0.70657,5.58567,3.76035,1.53582
345,6,800,0.83197,3.4166,3.95561,3.28465
346,6,800,0.83197,3.4166,3.95561,3.28465
347,6,800,0.83197,3.4166,3.95561,3.28465
348,6,800,0.83197,3.4166,3.95561,3.28465
349,6,800,0.83197,3.4166,3.95561,3.28465
350,6,800,0.450819,0.58243,2.09342,1.51832
351,6,800,0.450819,0.58243,2.09342,1.51832
352,6,800,0.450819,0.58243,2.09342,1.51832
353,6,800,0.450819,0.58243,2.09342,1.51832
354,6,800,0.450819,0.58243,2.09342,1.51832
355,6,800,0.985885,8.85036,5.067,0.716161
356,6,800,0.985885,8.85036,5.067,0.716161
357,6,800,0.985885,8.85036,5.067,0.716161
358,6,800,0.985885,8.85036,5.067,0.716161
359,6,800,0.985885,8.85036,5.067,0.716161
360,6,800,0.939195,4.44694,4.16595,1.0888
361,6,800,0.939195,4.44694,4.16595,1.0888
362,6,800,0.939195,4.44694,4.16595,1.0888
363,6,800,0.939195,4.44694,4.16595,1.0888
364,6,800,0.939195,4.44694,4.16595,1.0888
365,6,800,0.428523,6.44816,2.49874,1.48041
366,6,800,0.428523,6.44816,2.49874,1.48041
367,6,800,0.428523,6.44816,2.49874,1.48041
368,6,800,0.428523,6.44816,2.49874,1.48041
369,6,800,0.428523,6.44816,2.49874,1.48041
370,6,800,0.339658,4.5088,2.66677,1.00672
371,6,800,0.339658,4.5088,2.66677,1.00672
372,6,800,0.339658,4.5088,2.66677,1.00672
373,6,800,0.339658,4.5088,2.66677,1.00672
374,6,800,0.339658,4.5088,2.66677,1.00672
375,6,800,0.320892,3.53471,2.77584,1.18494
376,6,800,0.320892,3.53471,2.77584,1.18494
377,6,800,0.320892,3.53471,2.77584,1.18494
378,6,800,0.320892,3.53471,2.77584,1.18494
379,6,800,0.320892,3.53471,2.77584,1.18494
380,6,800,0.498301,2.06742,4.76121,1.72324
381,6,800,0.498301,2.06742,4.76121,1.72324
382,6,800,0.498301,2.06742,4.76121,1.72324
383,6,800,0.498301,2.06742,4.76121,1.72324
384,6,800,0.498301,2.06742,4.76121,1.72324
385,6,800,0.605794,9.61804,6.55142,4.44943
386,6,800,0.605794,9.61804,6.55142,4.44943
387,6,800,0.605794,9.61804,6.55142,4.44943
388,6,800,0.605794,9.61804,6.55142,4.44943
389,6,800,0.605794,9.61804,6.55142,4.44943
390,6,800,0.812552,9.38463,6.02651,3.98646
391,6,800,0.812552,9.38463,6.02651,3.98646
392,6,800,0.812552,9.38463,6.02651,3.98646
393,6,800,0.812552,9.38463,6.02651,3.98646
394,6,800,0.812552,9.38463,6.02651,3.98646
395,6,800,0.665604,12.2363,10.4515,2.12979
396,6,800,0.665604,12.2363,10.4515,2.12979
397,6,800,0.665604,12.2363,10.4515,2.12979
398,6,800,0.665604,12.2363,10.4515,2.12979
399,6,800,0.665604,12.2363,10.4515,2.12979
400,6,800,0.884579,5.20948,10.753,3.26288
401,6,800,0.884579,5.20948,10.753,3.26288
402,6,800,0.884579,5.20948,10.753,3.26288
403,6,800,0.884579,5.20948,10.753,3.26288
404,6,800,0.884579,5.20948,10.753,3.26288
405,6,800,0.916054,2.33041,1.1428,1.9938
406,6,800,0.916054,2.33041,1.1428,1.9938
407,6,800,0.916054,2.33041,1.1428,1.9938
408,6,800,0.916054,2.33041,1.1428,1.9938
409,6,800,0.916054,2.33041,1.1428,1.9938
410,6,800,0.300304,3.93132,5.04647,1.08682
411,6,800,0.300304,3.93132,5.04647,1.08682
412,6,800,0.300304,3.93132,5.04647,1.08682
413,6,800,0.300304,3.93132,5.04647,1.08682
414,6,800,0.300304,3.93132,5.04647,1.08682
415,6,800,0.715486,7.30639,2.85619,3.23726
416,6,800,0.715486,7.30639,2.85619,3.23726
417,6,800,0.715486,7.30639,2.85619,3.23726
418,6,800,0.715486,7.30639,2.85619,3.23726
419,6,800,0.715486,7.30639,2.85619,3.23726
420,6,800,0.342423,1.25338,3.04556,1.13449
421,6,800,0.342423,1.25338,3.04556,1.13449
422,6,800,0.342423,1.25338,3.04556,1.13449
423,6,800,0.342423,1.25338,3.04556,1.13449
424,6,800,0.342423,1.25338,3.04556,1.13449
425,6,800,0.612687,5.6434,3.94576,1.68083
426,6,800,0.612687,5.6434,3.94576,1.68083
427,6,800,0.612687,5.6434,3.94576,1.68083
428,6,800,0.612687,5.6434,3.94576,1.68083
429,6,800,0.612687,5.6434,3.94576,1.68083
430,6,800,0.45457,2.91452,1.12021,1.46721
431,6,800,0.45457,2.91452,1.12021,1.46721
432,6,800,0.45457,2.91452,1.12021,1.46721
433,6,800,0.45457,2.91452,1.12021,1.46721
434,6,800,0.45457,2.91452,1.12021,1.46721
435,6,800,0.36888,2.8686,6.28699,0.545105
436,6,800,0.36888,2.8686,6.28699,0.545105
437,6,800,0.36888,2.8686,6.28699,0.545105
438,6,800,0.36888,2.8686,6.28699,0.545105
439,6,800,0.36888,2.8686,6.28699,0.545105
440,6,800,0.608119,17.1296,4.88643,4.91829
441,6,800,0.608119,17.1296,4.88643,4.91829
442,6,800,0.608119,17.1296,4.88643,4.91829
443,6,800,0.608119,17.1296,4.88643,4.91829
444,6,800,0.608119,17.1296,4.88643,4.91829
445,6,800,0.965796,6.65852,1.80939,3.03083
446,6,800,0.965796,6.65852,1.80939,3.03083
447,6,800,0.965796,6.65852,1.80939,3.03083
448,6,800,0.965796,6.65852,1.80939,3.03083
449,6,800,0.965796,6.65852,1.80939,3.03083
