index,nrLayers,nrNodes,nrEdges,objectiveValue,timeElapsed
0,3,80,140,334.333,0.00073133
1,3,80,320,264.583,0.00204765
2,3,80,255,541.167,0.00281189
3,3,80,312,567.522,0.00377793
4,3,80,227,83.3684,0.000857449
5,3,80,307,338.8,0.00271572
6,3,80,210,430.769,0.00260065
7,3,80,307,495.088,0.00468033
8,3,80,524,153.827,0.00221864
9,3,80,582,339.064,0.00460815
10,3,80,625,361.281,0.0055911
11,3,80,369,582.039,0.00582692
12,3,80,672,223.562,0.00280539
13,3,80,535,193.463,0.00298506
14,3,80,759,356.75,0.00769461
15,3,80,319,399.957,0.00436542
16,3,80,522,238.641,0.00233843
17,3,80,554,298.74,0.00545671
18,3,80,960,390.365,0.00829904
19,3,80,842,512.828,0.00924451
20,3,80,940,98.4545,0.00263299
21,3,80,1035,259.345,0.00617246
22,3,80,1102,360.114,0.00940378
23,3,80,682,433.359,0.00714392
24,3,80,1260,88.7568,0.00377675
25,3,80,856,147.313,0.00403551
26,3,80,1215,317.045,0.00635559
27,3,80,560,444.491,0.00600141
28,3,100,500,276.462,0.00245252
29,3,100,211,317.629,0.00234748
30,3,100,403,286.05,0.00406822
31,3,100,394,586,0.00622926
32,3,100,641,121.4,0.00290653
33,3,100,725,266.167,0.00675401
34,3,100,461,520.444,0.0061386
35,3,100,442,455.783,0.00769632
36,3,100,980,185.688,0.00403026
37,3,100,840,255.659,0.00706233
38,3,100,993,339.938,0.0105445
39,3,100,999,480.573,0.0131386
40,3,100,962,144.909,0.00396163
41,3,100,1209,264.987,0.00725585
42,3,100,1200,476.845,0.0154514
43,3,100,1165,496.946,0.0151818
44,3,100,1427,146.559,0.00608161
45,3,100,1427,254.685,0.00926202
46,3,100,1497,301.933,0.0129984
47,3,100,1365,462.968,0.0164889
48,3,100,1665,110.283,0.00436227
49,3,100,1120,326.045,0.006596
50,3,100,1592,398.246,0.015207
51,3,100,1570,465.171,0.0191243
52,3,100,1711,127.812,0.00578929
53,3,100,1327,232.625,0.00865365
54,3,100,1459,363.279,0.00984856
55,3,100,1987,423.173,0.0253132
56,3,120,488,210.394,0.00256105
57,3,120,719,296,0.00653745
58,3,120,710,366.366,0.00969859
59,3,120,383,439.436,0.00881043
60,3,120,1065,126.317,0.00502373
61,3,120,359,270.333,0.00465999
62,3,120,1077,407.359,0.0134806
63,3,120,445,483.771,0.0106434
64,3,120,1350,198.344,0.00877654
65,3,120,1391,301.296,0.012584
66,3,120,479,492.185,0.0103159
67,3,120,1004,462.387,0.0201572
68,3,120,1039,192.849,0.00584753
69,3,120,875,295.653,0.0081234
70,3,120,1435,263.982,0.0161168
71,3,120,1795,419.486,0.0253279
72,3,120,1466,140.735,0.00723078
73,3,120,1920,249.819,0.0147643
74,3,120,1583,428.377,0.0175525
75,3,120,1247,477.359,0.021801
76,3,120,1757,141.932,0.00663927
77,3,120,1710,199.276,0.0125364
78,3,120,1931,343.638,0.0222719
79,3,120,1225,485.648,0.0208654
80,3,120,1724,140.36,0.00599774
81,3,120,1535,349.083,0.013001
82,3,120,1900,444.298,0.0193173
83,3,120,2456,542.817,0.0249844
84,3,140,979,242.31,0.00551552
85,3,140,800,208.477,0.00881894
86,3,140,787,376.156,0.0117156
87,3,140,762,447.87,0.0152455
88,3,140,460,245.649,0.004003
89,3,140,720,334.213,0.00901861
90,3,140,1402,475.956,0.019686
91,3,140,1200,429.898,0.0188951
92,3,140,520,96.1219,0.00337682
93,3,140,520,289.806,0.00749063
94,3,140,750,365.248,0.0133783
95,3,140,567,555.814,0.0173418
96,3,140,1938,171.948,0.00857888
97,3,140,589,247.882,0.00746605
98,3,140,2337,396.862,0.030874
99,3,140,825,378.466,0.017971
100,3,140,1557,185.466,0.0130709
101,3,140,921,256.069,0.0111616
102,3,140,2027,372.736,0.0177351
103,3,140,1830,428.893,0.0366532
104,3,140,910,306.773,0.00640269
105,3,140,2620,347.05,0.0211355
106,3,140,3227,361.774,0.0409198
107,3,140,2620,419.757,0.0433681
108,3,140,3688,132.513,0.0162969
109,3,140,943,212.407,0.00911585
110,3,140,3631,329.328,0.0439567
111,3,140,3900,542.784,0.0475794
112,3,160,1134,162.983,0.00762948
113,3,160,1134,215.557,0.013929
114,3,160,300,470.633,0.00841666
115,3,160,560,801.5,0.0188552
116,3,160,1312,148.25,0.00780207
117,3,160,1717,246.482,0.0204236
118,3,160,1390,312.846,0.0228895
119,3,160,1787,439.56,0.0375176
120,3,160,2200,157.917,0.0204226
121,3,160,2383,337.018,0.0261626
122,3,160,2470,348.964,0.0329989
123,3,160,543,439.226,0.0151335
124,3,160,3159,131.419,0.0152299
125,3,160,3175,192.519,0.0315717
126,3,160,2142,337.145,0.03344
127,3,160,3168,464.344,0.0549629
128,3,160,983,98.7477,0.00626071
129,3,160,1607,236.149,0.0222834
130,3,160,3062,310,0.0407382
131,3,160,2025,456.113,0.046981
132,3,160,4109,132.13,0.0189185
133,3,160,1430,283.85,0.015674
134,3,160,4423,331.518,0.0562988
135,3,160,4477,525.449,0.0845684
136,3,160,4083,109.927,0.0194721
137,3,160,5004,221.033,0.0324332
138,3,160,1740,295.254,0.0241017
139,3,160,4351,462.009,0.0539646
140,3,180,1610,133.296,0.00960401
141,3,180,1615,242.607,0.0220111
142,3,180,1620,357.453,0.031663
143,3,180,434,460.747,0.0162447
144,3,180,2019,190.704,0.0133022
145,3,180,1313,399.622,0.0230172
146,3,180,1618,400.459,0.0365254
147,3,180,1489,531.222,0.0392829
148,3,180,3110,133.057,0.020252
