index,nrLayers,nrNodes,nrEdges,objectiveValue,timeElapsed
341,5,120,657,249.136,1.89129
342,5,120,845,337.895,5.59489
343,5,120,782,374.035,0.837642
344,5,120,834,90.382,0.429416
345,5,120,628,180.927,1.2872
346,5,120,729,345.163,2.48394
347,5,120,507,318,0.350381
348,5,120,768,97.0192,0.624477
349,5,120,1027,204.209,0.682108
350,5,120,1043,193.705,0.837889
351,5,120,1248,477.924,1.07192
352,5,120,787,35.6269,0.122157
353,5,120,1464,153.018,15.3848
354,5,120,915,201.174,2.23437
355,5,120,1115,486.868,0.394501
356,5,120,1375,120.025,0.909081
357,5,120,1593,229.842,0.420408
358,5,120,1588,269.455,0.791863
359,5,120,1464,304.219,0.664245
360,5,120,1919,111.716,0.710263
361,5,120,2193,230.054,1.10078
362,5,120,1902,310.216,0.937244
363,5,120,1587,387.577,0.30412
364,5,140,377,174.278,0.16756
365,5,140,665,160.936,3.87012
366,5,140,708,280.641,23.969
367,5,140,395,520.735,0.543823
368,5,140,627,124.56,1.2111
369,5,140,1011,242.386,4.96061
370,5,140,794,246.09,8.18968
371,5,140,915,310.124,1.15049
372,5,140,596,208.413,0.886282
373,5,140,624,182.887,1.20536
374,5,140,1153,423.266,0.407238
375,5,140,1470,435.367,13.1084
376,5,140,1319,83.07,0.682787
377,5,140,1330,283.267,0.807474
378,5,140,1454,309.959,7.41325
379,5,140,1493,377.662,14.8286
380,5,140,1804,86.7207,8.66005
381,5,140,1281,216.419,1.36802
382,5,140,1847,288.35,0.954393
383,5,140,1586,385.567,1.4241
384,5,140,2191,117.113,31.872
385,5,140,1960,181.26,1.69669
386,5,140,1624,170.051,0.697233
387,5,140,1632,423.966,2.37194
388,5,140,1977,98.7525,0.200242
389,5,140,2494,179.412,1.27647
390,5,140,2446,291.574,0.716698
391,5,140,1358,498.685,0.320338
392,5,160,744,93.4444,0.578346
393,5,160,860,227.86,6.83542
394,5,160,378,389,0.430669
395,5,160,873,418.351,7.68308
396,5,160,1195,113.077,52.9271
397,5,160,899,278.097,1.44719
398,5,160,1121,328.061,22.3885
399,5,160,1257,381.336,15.7852
400,5,160,1306,140.279,55.7221
401,5,160,1428,190.667,1.73949
402,5,160,948,361.08,0.77153
403,5,160,1305,395.511,1.10706
404,5,160,1764,81.3838,8.45411
405,5,160,2052,241.65,14.06
406,5,160,1701,220.651,164.141
407,5,160,2082,345.671,23.8205
408,5,160,2264,91.3866,32.7089
409,5,160,2242,159.45,16.9366
410,5,160,1460,192.277,1.70397
411,5,160,1528,230.851,14.9937
412,5,160,2487,70.3158,9.95392
413,5,160,2283,249.344,0.518792
414,5,160,3588,303.167,1.33804
415,5,160,3026,400.063,1.57611
416,5,160,2883,116.375,13.2871
417,5,160,4534,188.378,3.1277
418,5,160,2878,283.985,0.83922
419,5,160,2384,303.153,0.985843
420,6,80,138,169.583,0.102854
421,6,80,174,182.269,0.0789204
422,6,80,145,456.9,0.102665
423,6,80,190,336.714,0.193227
424,6,80,236,167.783,0.153772
425,6,80,245,254.9,0.346421
426,6,80,247,262.146,0.278785
427,6,80,263,345.055,0.296159
428,6,80,293,96.2308,0.16888
429,6,80,336,247.393,0.273557
430,6,80,381,296.69,0.239673
431,6,80,314,336.789,0.248594
432,6,80,403,114.957,0.219728
433,6,80,374,262.589,0.15653
434,6,80,292,299.952,0.197064
435,6,80,432,394.151,0.288429
436,6,80,494,152.938,0.198768
437,6,80,496,154.046,0.182489
438,6,80,555,291.221,0.240882
439,6,80,541,370.985,0.262479
440,6,80,656,124.493,0.259248
441,6,80,744,190.787,0.11041
442,6,80,630,365.211,0.201822
443,6,80,669,326.421,0.127341
444,6,80,720,80.1538,0.0597882
445,6,80,667,248.522,0.100331
446,6,80,745,309.932,0.0909452
447,6,80,644,322.818,0.203678
448,6,100,202,132.333,0.0769326
449,6,100,192,179.625,0.129262
450,6,100,181,216.971,0.14335
451,6,100,272,343.671,0.565453
452,6,100,396,126.203,0.252789
453,6,100,358,140.018,0.313562
454,6,100,304,207.372,0.261722
455,6,100,379,308.623,0.353965
456,6,100,598,88.0972,0.480516
457,6,100,551,203.743,0.278794
458,6,100,572,325.876,0.345978
459,6,100,596,426.817,4.8743
460,6,100,728,77.4265,0.506076
461,6,100,783,213.875,0.530622
462,6,100,626,176.756,0.342787
463,6,100,641,380.656,0.63333
464,6,100,744,115.686,0.270305
465,6,100,825,155.92,0.505225
466,6,100,806,257.477,0.509028
467,6,100,896,348.505,0.335569
468,6,100,1134,109.518,0.289523
469,6,100,835,234.154,0.286616
470,6,100,938,242.733,0.383917
471,6,100,793,298.077,0.191751
472,6,100,980,63.1667,0.239448
473,6,100,1248,163.884,0.356165
474,6,100,885,315.442,0.143744
475,6,100,1340,347.621,0.358939
476,6,120,437,153.734,0.235524
477,6,120,293,324.014,0.491127
478,6,120,485,349.258,0.979144
479,6,120,467,319.437,0.422007
480,6,120,592,146.192,0.382211
481,6,120,610,259.57,0.965954
482,6,120,521,291.257,1.56227
483,6,120,602,253.446,3.27983
484,6,120,703,132.575,3.25986
485,6,120,838,208.84,1.93991
486,6,120,611,393.844,1.51875
487,6,120,717,421.433,1.9563
488,6,120,942,94.8732,1.3598
489,6,120,1121,190.971,5.42069
490,6,120,1019,319.255,0.79105
491,6,120,1208,324.292,2.1584
492,6,120,729,116.362,1.14191
493,6,120,1132,181.505,0.862424
494,6,120,1105,317.333,0.472321
495,6,120,1251,371.64,0.468661
496,6,120,1381,147.421,0.585951
497,6,120,1239,159.648,1.61929
498,6,120,1479,298.151,0.603215
499,6,120,1168,249.788,2.1925
500,6,120,1303,141.611,0.895776
501,6,120,1640,250.069,0.511609
502,6,120,1508,304.129,0.419846
503,6,120,1782,430.407,0.404124
504,6,140,560,135.677,0.227591
505,6,140,481,237.968,0.663862
506,6,140,622,317.847,19.1214
507,6,140,580,400.037,6.93603
508,6,140,710,86.5806,6.67958
509,6,140,805,203.211,1.53634
510,6,140,1046,294.273,2.29498
511,6,140,742,350.486,17.6424
512,6,140,643,204.674,0.632212
513,6,140,1119,199.739,9.85309
514,6,140,1280,271.536,5.94566
515,6,140,703,338.234,0.921241
516,6,140,1315,132.393,0.747722
517,6,140,1253,192.36,36.7235
518,6,140,1237,363.147,1.91481
519,6,140,1092,384.95,0.461203
520,6,140,1608,145.117,7.73159
521,6,140,1002,138.505,3.6603
