index,nrLayers,nrNodes,nrEdges,objectiveValue,timeElapsed
1085,10,140,1164,194.024,0.0174036
1086,10,140,1267,294.397,0.0297412
1087,10,140,1170,388.567,0.0189129
1088,10,140,1350,129.104,0.012989
1089,10,140,1360,215.592,0.0274881
1090,10,140,1343,372.111,0.0183095
1091,10,140,1523,448.728,0.0236191
1092,10,160,439,145.906,0.0139612
1093,10,160,474,254,0.0242577
1094,10,160,449,342.803,0.0323122
1095,10,160,477,511.581,0.0336413
1096,10,160,710,143.565,0.0510862
1097,10,160,589,236.619,0.0350428
1098,10,160,663,344.977,0.0505169
1099,10,160,699,384.08,0.0546006
1100,10,160,869,167.336,0.0327934
1101,10,160,906,272.108,0.031488
1102,10,160,841,398.09,0.0668182
1103,10,160,863,368.717,0.0322894
1104,10,160,1195,109.086,0.0706316
1105,10,160,1174,245.03,0.055264
1106,10,160,1076,385.221,0.114525
1107,10,160,1102,416.774,0.0705045
1108,10,160,1317,136.41,0.045243
1109,10,160,1089,187.29,0.0671413
1110,10,160,1383,289.685,0.037651
1111,10,160,1567,424.565,0.0536115
1112,10,160,1781,140.008,0.0902574
1113,10,160,1595,264.289,0.0278509
1114,10,160,1698,356.276,0.034259
1115,10,160,1318,392.304,0.0395288
1116,10,160,1639,114.545,0.0432486
1117,10,160,1707,219.153,0.0267073
1118,10,160,1605,310.094,0.0195482
1119,10,160,1704,371.355,0.0342783
